id,date,label,title,description,url,sub_items,start_time,end_time,location,map_url
torsdag,30. juli,Torsdag,Ankomst,,,Infosenteret åpner kl. 16.00; Egentrening sprint og skog,16:00,18:00,Skolen,
torsdag,30. juli,Torsdag,Kveldsmat,,,,20:00,21:00,Kringsjå hallen,
fredag,31. juli,Fredag,Frokost,,,,08:00,09:00,Kringsjå hallen,
fredag,31. juli,Fredag,Hovedankomst,,,Egentrening sprint og skog,10:00,18:00,Skolen,
fredag,31. juli,Fredag,Middag,,,,17:00,18:00,Kringsjå hallen,
fredag,31. juli,Fredag,Kveldsmat,,,,20:00,21:00,Kringsjå hallen,
lordag,1. august,Lørdag,Frokost,,,,08:00,09:00,Kringsjå hallen,
lordag,1. august,Lørdag,Hovedløpet lang - Maridalen,,https://eventor.orientering.no/Events/Show/19382,,09:00,14:00,Maridalen,
lordag,1. august,Lørdag,Premieutdeling,,,,15:00,,Arena i Maridalen,
lordag,1. august,Lørdag,Middag,,,,17:00,18:00,Kringsjå hallen,
lordag,1. august,Lørdag,Kveldsmat,,,,20:00,21:00,Kringsjå hallen,
sondag,2. august,Søndag,Frokost,,,,08:00,09:00,Kringsjå hallen,
sondag,2. august,Søndag,Hovedløpet sprint - Nydalen,,https://eventor.orientering.no/Events/Show/19383,,09:00,14:00,Nydalen,
sondag,2. august,Søndag,Premieutdeling,,,,15:00,,Arena i Nydalen,
sondag,2. august,Søndag,Middag,,,,17:00,18:00,Kringsjå hallen,
sondag,2. august,Søndag,Kveldsmat,,,,20:00,21:00,Kringsjå hallen,
mandag,3. august,Mandag,Frokost,,,,08:00,09:00,Kringsjå hallen,
mandag,3. august,Mandag,Aktivitetsdag,,,Aktivitetsløype; Bading; Moroløp,10:00,15:00,Sognsvann,
mandag,3. august,Mandag,Middag,,,,17:00,18:00,Kringsjå hallen,
mandag,3. august,Mandag,Kveldsmat,,,,20:00,21:00,Kringsjå hallen,
mandag,3. august,Mandag,Disco!,,,,19:00,22:00,Skolen,
tirsdag,4. august,Tirsdag,Frokost,,,,08:00,09:00,Kringsjå hallen,
tirsdag,4. august,Tirsdag,Treningsdag,,,Innendørs-O; O-teknisk trening skog,09:00,15:00,Skolen,
tirsdag,4. august,Tirsdag,Middag,,,,17:00,18:00,Kringsjå hallen,
tirsdag,4. august,Tirsdag,Kveldsmat,,,,20:00,21:00,Kringsjå hallen,
onsdag,5. august,Onsdag,Frokost,,,,08:00,09:00,Kringsjå hallen,
onsdag,5. august,Onsdag,Kretsstafett,,https://eventor.orientering.no/Events/Show/20170,,08:00,12:00,Skolen,
onsdag,5. august,Onsdag,Premieutdeling,,,,14:00,,Kringsjå skole,
onsdag,5. august,Onsdag,Avreise,Omtrent kl. 14:00,,,14:00,15:00,Skolen,
